10g: links: 371g; rechts: 127g, 127g, 127g
7430g: naechtes Ergebnis: 7428g: links: 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g
7440g: naechtes Ergebnis: 7441g: links: 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g
7450g: naechtes Ergebnis: 7451g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
7460g: links: 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
7470g: links: 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g
7480g: naechtes Ergebnis: 7478g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
7490g: naechtes Ergebnis: 7493g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
7500g: naechtes Ergebnis: 7501g: links: 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
7510g: naechtes Ergebnis: 7511g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
7520g: links: 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
7530g: naechtes Ergebnis: 7527g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 127g
7540g: naechtes Ergebnis: 7536g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
7550g: naechtes Ergebnis: 7554g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
7560g: naechtes Ergebnis: 7559g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
7570g: naechtes Ergebnis: 7569g: links: 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 127g
7580g: naechtes Ergebnis: 7578g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
7590g: naechtes Ergebnis: 7587g: links: 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g
7600g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
7610g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
7620g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
7630g: links: 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g
7640g: naechtes Ergebnis: 7639g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
7650g: naechtes Ergebnis: 7648g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
7660g: naechtes Ergebnis: 7661g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g
7670g: naechtes Ergebnis: 7671g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g
7680g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
7690g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
7700g: naechtes Ergebnis: 7703g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
7710g: naechtes Ergebnis: 7713g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
7720g: naechtes Ergebnis: 7719g: links: 42g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
7730g: naechtes Ergebnis: 7729g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
7740g: naechtes Ergebnis: 7739g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
7750g: naechtes Ergebnis: 7747g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
7760g: naechtes Ergebnis: 7761g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
7770g: links: 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g
7780g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
7790g: naechtes Ergebnis: 7789g: links: 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
7800g: naechtes Ergebnis: 7799g: links: 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g
7810g: naechtes Ergebnis: 7812g: links: 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
7820g: naechtes Ergebnis: 7822g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
7830g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
7840g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g
7850g: naechtes Ergebnis: 7849g: links: 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
7860g: naechtes Ergebnis: 7859g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g
7870g: naechtes Ergebnis: 7872g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
7880g: naechtes Ergebnis: 7882g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
7890g: links: 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
7900g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
7910g: naechtes Ergebnis: 7907g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
7920g: naechtes Ergebnis: 7916g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g
7930g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
7940g: links: 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 127g
7950g: naechtes Ergebnis: 7949g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
7960g: naechtes Ergebnis: 7958g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g
7970g: naechtes Ergebnis: 7971g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
7980g: naechtes Ergebnis: 7981g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
7990g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g
8000g: links: /; rechts: 2000g, 2000g, 2000g, 2000g
8010g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
8020g: naechtes Ergebnis: 8019g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8030g: naechtes Ergebnis: 8029g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
8040g: naechtes Ergebnis: 8042g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 42g
8050g: naechtes Ergebnis: 8051g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8060g: links: 371g, 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g
8070g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
8080g: naechtes Ergebnis: 8084g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
8090g: naechtes Ergebnis: 8093g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8100g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
8110g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
8120g: naechtes Ergebnis: 8118g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g
8130g: naechtes Ergebnis: 8128g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g
8140g: naechtes Ergebnis: 8141g: links: 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g
8150g: naechtes Ergebnis: 8151g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
8160g: links: 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g
8170g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g
8180g: naechtes Ergebnis: 8178g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8190g: naechtes Ergebnis: 8188g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g
8200g: naechtes Ergebnis: 8201g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 42g, 42g
8210g: naechtes Ergebnis: 8211g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g
8220g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8230g: links: 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g
8240g: naechtes Ergebnis: 8239g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
8250g: naechtes Ergebnis: 8253g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
8260g: naechtes Ergebnis: 8261g: links: 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
8270g: naechtes Ergebnis: 8269g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 127g
8280g: naechtes Ergebnis: 8281g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g, 127g, 127g
8290g: naechtes Ergebnis: 8287g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g
8300g: naechtes Ergebnis: 8297g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
8310g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
8320g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
8330g: naechtes Ergebnis: 8329g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g
8340g: naechtes Ergebnis: 8339g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
8350g: naechtes Ergebnis: 8352g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
8360g: naechtes Ergebnis: 8361g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g
8370g: links: 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 42g, 42g, 42g
8380g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g, 127g
8390g: links: 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8400g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
8410g: naechtes Ergebnis: 8413g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 42g
8420g: naechtes Ergebnis: 8422g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8430g: naechtes Ergebnis: 8431g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g
8440g: naechtes Ergebnis: 8441g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
8450g: naechtes Ergebnis: 8446g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g
8460g: naechtes Ergebnis: 8456g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 127g
8470g: naechtes Ergebnis: 8473g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
8480g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g
8490g: naechtes Ergebnis: 8489g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g
8500g: naechtes Ergebnis: 8499g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 127g, 127g
8510g: naechtes Ergebnis: 8507g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g, 127g, 127g
8520g: naechtes Ergebnis: 8522g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
8530g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g
8540g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 42g, 127g
8550g: naechtes Ergebnis: 8549g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8560g: naechtes Ergebnis: 8559g: links: 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g
8570g: naechtes Ergebnis: 8568g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
8580g: naechtes Ergebnis: 8582g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 42g, 42g, 127g
8590g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
8600g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
8610g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
8620g: naechtes Ergebnis: 8616g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g
8630g: naechtes Ergebnis: 8632g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
8640g: naechtes Ergebnis: 8642g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
8650g: naechtes Ergebnis: 8649g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
8660g: naechtes Ergebnis: 8658g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g
8670g: naechtes Ergebnis: 8668g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 127g, 127g, 127g
8680g: naechtes Ergebnis: 8676g: links: 371g, 371g, 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8690g: links: 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g
8700g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g
8710g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 127g, 127g, 127g
8720g: naechtes Ergebnis: 8718g: links: 371g, 371g, 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8730g: naechtes Ergebnis: 8728g: links: 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g
8740g: naechtes Ergebnis: 8741g: links: 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 42g
8750g: naechtes Ergebnis: 8751g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 42g, 42g, 42g, 127g, 127g
8760g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8770g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g
8780g: naechtes Ergebnis: 8784g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g
8790g: naechtes Ergebnis: 8793g: links: 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8800g: naechtes Ergebnis: 8802g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g
8810g: naechtes Ergebnis: 8812g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
8820g: naechtes Ergebnis: 8817g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g
8830g: naechtes Ergebnis: 8827g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 127g
8840g: naechtes Ergebnis: 8836g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 42g, 42g, 127g, 127g, 127g
8850g: naechtes Ergebnis: 8854g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g
8860g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g
8870g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 127g, 127g
8880g: naechtes Ergebnis: 8878g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
8890g: naechtes Ergebnis: 8888g: links: 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g
8900g: naechtes Ergebnis: 8901g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g
8910g: naechtes Ergebnis: 8911g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g, 127g
8920g: links: 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
8930g: links: 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g
8940g: naechtes Ergebnis: 8939g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
8950g: naechtes Ergebnis: 8953g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 127g
8960g: naechtes Ergebnis: 8961g: links: 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
8970g: naechtes Ergebnis: 8971g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
8980g: naechtes Ergebnis: 8981g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
8990g: naechtes Ergebnis: 8987g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g
9000g: naechtes Ergebnis: 8997g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 127g, 127g, 127g
9010g: naechtes Ergebnis: 9013g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
9020g: naechtes Ergebnis: 9019g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
9030g: naechtes Ergebnis: 9029g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g
9040g: naechtes Ergebnis: 9039g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 127g, 127g, 127g
9050g: naechtes Ergebnis: 9047g: links: 371g, 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9060g: naechtes Ergebnis: 9061g: links: 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
9070g: links: 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g
9080g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 127g, 127g
9090g: naechtes Ergebnis: 9089g: links: 371g, 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9100g: naechtes Ergebnis: 9099g: links: 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g
9110g: naechtes Ergebnis: 9112g: links: 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g
9120g: naechtes Ergebnis: 9122g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
9130g: links: 371g, 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
9140g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
9150g: naechtes Ergebnis: 9146g: links: 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
9160g: naechtes Ergebnis: 9156g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g
9170g: naechtes Ergebnis: 9173g: links: 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g
9180g: naechtes Ergebnis: 9183g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
9190g: naechtes Ergebnis: 9188g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
9200g: naechtes Ergebnis: 9198g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g
9210g: naechtes Ergebnis: 9207g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
9220g: naechtes Ergebnis: 9216g: links: 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9230g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
9240g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g
9250g: naechtes Ergebnis: 9249g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
9260g: naechtes Ergebnis: 9259g: links: 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g
9270g: naechtes Ergebnis: 9268g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
9280g: naechtes Ergebnis: 9282g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 127g
9290g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g
9300g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g
9310g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
9320g: naechtes Ergebnis: 9324g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g
9330g: naechtes Ergebnis: 9332g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
9340g: naechtes Ergebnis: 9342g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
9350g: naechtes Ergebnis: 9348g: links: 42g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
9360g: naechtes Ergebnis: 9358g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
9370g: naechtes Ergebnis: 9368g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g, 127g, 127g
9380g: naechtes Ergebnis: 9376g: links: 371g, 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9390g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
9400g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
9410g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g, 127g, 127g
9420g: naechtes Ergebnis: 9418g: links: 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9430g: naechtes Ergebnis: 9428g: links: 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g
9440g: naechtes Ergebnis: 9441g: links: 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g
9450g: naechtes Ergebnis: 9451g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
9460g: links: 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9470g: links: 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g
